Host Name;DNS name 1;DNS name 2;State;Responsable;Critical;Priority;Type;Virt. Plataform;Fail Over Cluster or VMwware Datacenter;Business Function;Application name;Environment;Contact Team;Data center;Domain;Operating System;Time Zone;Network Adapter;MAC Address;IP Address Adapter 1;IP Address Adapter 2;IP Address Adapter 3;IP Address Adapter 4;Default Gateway;DNS Primary;DNS Secondary;SERVER MAKE;SERVER MODEL;SERVER TYPE;Console Remote Access;Service Tag (serial);Warranty end
CANSAPP191PY;cansapp191PY.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Repositós;PY;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.23.225/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;;;
CANSAPP192;cansapp192sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;SharePoint 2013;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2012 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.22.46/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP193;cansapp193.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Coletor de informaçs Cisco;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2012 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.22.106/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP194PY;cansapp194PY.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;;PY;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 14 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.23.227/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;;;
CANSAPP20;CANSAPP20PY.agco_dsv.com.br;;OPERATING;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;GFAlliance, InterJDE;PD;Gabriela Pandolfo;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2012 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.20.215/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP20PY;CANSAPP20PY.agco_dsv.com.br;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;GFAlliance, InterJDE;PY;Gabriela Pandolfo;AGCO BR - Canoas;agco_dsv.com.br;Windows Server 2012 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.20.186/22;;;;10.30.20.1;10.30.20.72;10.30.23.13;;;;None;None;None
CANSAPP21;cansapp21.sa.agcocorp.com;;OPERATING;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;SharePoint, Intranet;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Enterprise (64-bit);(GMT-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00:22:19:66:FF:3F;10.30.20.197/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP22;cansapp22.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P3;Virtual;VMware;CANOAS;Application Server;IIS, Nexo;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Standard (32-bit);(GMT-03:00) Brasilia;vmxnet3 Ethernet Adapter;00:50:56:B8:7F:70;10.30.20.250/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP22PY;cansapp22py.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Nexo PY;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Standard (32-bit);(GMT-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:14:3E:5A;10.30.20.110/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP27;cansapp27.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Wavelink - Collector Management;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Standard (32-bit);(GMT-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00-15-C5-EB-ED-38;10.30.20.119/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
